block	emission	endAmount
3975000	0.6	18933464.2
3980000	0.6	18936464.2
3985000	0.6	18939464.2
3990000	0.6	18942464.2
3995000	0.6	18945464.2
4000000	0.6	18948464.2
4005000	0.6	18951464.2
4010000	0.6	18954464.2
4015000	0.6	18957464.2
4020000	0.6	18960464.2
4025000	0.6	18963464.2
4030000	0.6	18966464.2
4035000	0.6	18969464.2
4040000	0.6	18972464.2
4045000	0.6	18975464.2
4050000	0.6	18978464.2
4055000	0.6	18981464.2
4060000	0.6	18984464.2
4065000	0.6	18987464.2
4070000	0.6	18990464.2
4075000	0.6	18993464.2
4080000	0.6	18996464.2
4085000	0.6	18999464.2
4090000	0.6	19002464.2
4095000	0.6	19005464.2
4100000	0.6	19008464.2
4105000	0.6	19011464.2
4110000	0.6	19014464.2
4115000	0.6	19017464.2
4120000	0.6	19020464.2
4125000	0.6	19023464.2
4130000	0.6	19026464.2
4135000	0.6	19029464.2
4140000	0.6	19032464.2
4145000	0.6	19035464.2
4150000	0.6	19038464.2
4155000	0.6	19041464.2
4160000	0.6	19044464.2
4165000	0.6	19047464.2
4170000	0.6	19050464.2
4175000	0.6	19053464.2
4180000	0.6	19056464.2
4185000	0.6	19059464.2
4190000	0.6	19062464.2
4195000	0.6	19065464.2
4200000	0.6	19068464.2
4205000	0.6	19071464.2
4210000	0.6	19074464.2
4215000	0.6	19077464.2
4220000	0.6	19080464.2
4225000	0.6	19083464.2
4230000	0.6	19086464.2
4235000	0.6	19089464.2
4240000	0.6	19092464.2
4245000	0.6	19095464.2
4250000	0.6	19098464.2
4255000	0.6	19101464.2
4260000	0.6	19104464.2
4265000	0.6	19107464.2
4270000	0.6	19110464.2
4275000	0.6	19113464.2
4280000	0.6	19116464.2
4285000	0.6	19119464.2
4290000	0.6	19122464.2
4295000	0.6	19125464.2
4300000	0.6	19128464.2
4305000	0.6	19131464.2
4310000	0.6	19134464.2
4315000	0.6	19137464.2
4320000	0.6	19140464.2
4325000	0.6	19143464.2
4330000	0.6	19146464.2
4335000	0.6	19149464.2
4340000	0.6	19152464.2
4345000	0.6	19155464.2
4350000	0.6	19158464.2
4355000	0.6	19161464.2
4360000	0.6	19164464.2
4365000	0.6	19167464.2
4370000	0.6	19170464.2
4375000	0.6	19173464.2
4380000	0.6	19176464.2
4385000	0.6	19179464.2
4390000	0.6	19182464.2
4395000	0.6	19185464.2
4400000	0.6	19188464.2
4405000	0.6	19191464.2
4410000	0.6	19194464.2
4415000	0.6	19197464.2
4420000	0.6	19200464.2
4425000	0.6	19203464.2
4430000	0.6	19206464.2
4435000	0.6	19209464.2
4440000	0.6	19212464.2
4445000	0.6	19215464.2
4450000	0.6	19218464.2
4455000	0.6	19221464.2
4460000	0.6	19224464.2
4465000	0.6	19227464.2
4470000	0.6	19230464.2
4475000	0.6	19233464.2
4480000	0.6	19236464.2
4485000	0.6	19239464.2
4490000	0.6	19242464.2
4495000	0.6	19245464.2
4500000	0.6	19248464.2
4505000	0.6	19251464.2
4510000	0.6	19254464.2
4515000	0.6	19257464.2
4520000	0.6	19260464.2
4525000	0.6	19263464.2
4530000	0.6	19266464.2
4535000	0.6	19269464.2
4540000	0.6	19272464.2
4545000	0.6	19275464.2
4550000	0.6	19278464.2
4555000	0.6	19281464.2
4560000	0.6	19284464.2
4565000	0.6	19287464.2
4570000	0.6	19290464.2
4575000	0.6	19293464.2
4580000	0.6	19296464.2
4585000	0.6	19299464.2
4590000	0.6	19302464.2
4595000	0.6	19305464.2
4600000	0.6	19308464.2
4605000	0.6	19311464.2
4610000	0.6	19314464.2
4615000	0.6	19317464.2
4620000	0.6	19320464.2
4625000	0.6	19323464.2
